episode,timestep,episode_reward,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
1,3,0.1698736250400543,3,0.1698736250400543,0.1698736250400543,0.1698736250400543,0.1698736250400543
2,4,-0.5,1,-0.5,-0.5,-0.5,-0.5
3,8,0.3822254240512848,4,0.3822254240512848,0.3822254240512848,0.3822254240512848,0.3822254240512848
4,119,40.98627233505249,111,40.98627233505249,40.98627233505249,40.98627233505249,40.98627233505249
5,350,82.53367495536804,231,82.53367495536804,82.53367495536804,82.53367495536804,82.53367495536804
6,586,83.26620745658875,236,83.26620745658875,83.26620745658875,83.26620745658875,83.26620745658875
7,642,18.188900381326675,56,18.188900381326675,18.188900381326675,18.188900381326675,18.188900381326675
8,645,0.0833991467952728,3,0.0833991467952728,0.0833991467952728,0.0833991467952728,0.0833991467952728
9,718,23.41998296976089,73,23.41998296976089,23.41998296976089,23.41998296976089,23.41998296976089
10,857,47.840854465961456,139,47.840854465961456,47.840854465961456,47.840854465961456,47.840854465961456
11,858,-0.5,1,-0.5,-0.5,-0.5,-0.5
12,859,-0.5,1,-0.5,-0.5,-0.5,-0.5
13,918,19.03498095273972,59,19.03498095273972,19.03498095273972,19.03498095273972,19.03498095273972
14,1062,51.25791344046593,144,51.25791344046593,51.25791344046593,51.25791344046593,51.25791344046593
15,1066,0.398804098367691,4,0.398804098367691,0.398804098367691,0.398804098367691,0.398804098367691
16,1186,41.78894969820976,120,41.78894969820976,41.78894969820976,41.78894969820976,41.78894969820976
17,1192,0.9871240258216858,6,0.9871240258216858,0.9871240258216858,0.9871240258216858,0.9871240258216858
18,1321,46.65192666649818,129,46.65192666649818,46.65192666649818,46.65192666649818,46.65192666649818
19,1327,1.2659070193767548,6,1.2659070193767548,1.2659070193767548,1.2659070193767548,1.2659070193767548
20,1328,-0.5,1,9.727403700351717,-0.5,22.812849833071237,-0.5
21,1330,-0.1563061773777008,2,9.727403700351717,-0.1563061773777008,22.796540842950343,-0.1563061773777008
22,1334,0.4576558172702789,4,9.727403700351717,0.4576558172702789,22.844423633813857,0.4576558172702789
23,1396,22.061628490686417,62,18.611940667033195,22.061628490686417,23.928393787145616,22.061628490686417
24,1404,1.9147164523601528,8,10.051808416843414,1.9147164523601528,21.974815993011,1.9147164523601528
25,1543,49.26207846403122,139,10.051808416843414,49.26207846403122,20.31123616844416,49.26207846403122
26,1614,24.595832228660583,71,10.051808416843414,24.595832228660583,17.377717407047747,24.595832228660583
27,1740,44.84027272462845,126,10.474848702549934,44.84027272462845,18.71028602421284,44.84027272462845
28,1825,29.642945885658264,85,20.548304721713063,29.642945885658264,20.188263361155983,29.642945885658264
29,1836,2.7257382571697235,11,10.88035960495472,2.7257382571697235,19.153551125526427,2.7257382571697235
30,2214,129.9566406905651,378,10.88035960495472,129.9566406905651,23.25934043675661,129.9566406905651
31,2262,16.626707911491394,48,17.830844432115555,16.626707911491394,24.11567583233118,16.626707911491394
32,2432,62.78433844447136,170,20.548304721713063,62.78433844447136,27.279892754554748,62.78433844447136
33,2859,146.64569133520126,427,23.3287303596735,146.64569133520126,33.66042827367782,146.64569133520126
34,3242,133.16932794451714,383,23.3287303596735,133.16932794451714,37.75599899888039,133.16932794451714
35,3762,178.822592318058,520,27.119389057159424,178.822592318058,46.6771884098649,178.822592318058
36,4079,115.71739229559898,317,27.119389057159424,115.71739229559898,50.373610539734365,115.71739229559898
37,4082,0.0370349884033203,3,27.119389057159424,0.0370349884033203,50.32610608786344,0.0370349884033203
38,4130,16.46112748980522,48,23.3287303596735,16.46112748980522,48.8165661290288,16.46112748980522
39,4216,31.84322953224182,86,27.119389057159424,31.84322953224182,50.34543225467205,31.84322953224182
40,4247,10.668670743703842,31,27.119389057159424,10.668670743703842,50.90386579185724,10.668670743703842
41,4334,30.059623539447784,87,29.851284712553024,30.059623539447784,52.41466227769852,30.059623539447784
42,4518,69.01028314232826,184,30.951426535844803,69.01028314232826,55.842293643951415,69.01028314232826
43,4610,33.5519235432148,92,32.69757653772831,33.5519235432148,56.41680839657784,33.5519235432148
44,4612,-0.2017830908298492,2,32.69757653772831,-0.2017830908298492,56.310983419418335,-0.2017830908298492
45,4708,35.70780789852142,96,32.69757653772831,35.70780789852142,55.633269891142845,35.70780789852142
46,4727,5.98823869228363,19,32.69757653772831,5.98823869228363,54.702890214324,5.98823869228363
47,5454,259.8298455476761,727,32.69757653772831,259.8298455476761,65.45236885547638,259.8298455476761
48,6259,278.5053106099367,805,34.62986572086811,278.5053106099367,77.8954870916903,278.5053106099367
49,6407,53.41449883580208,148,44.56115336716175,53.41449883580208,80.42992512062192,53.41449883580208
50,6572,60.66413328051567,165,44.56115336716175,60.66413328051567,76.96529975011944,60.66413328051567
51,6994,146.00287064909935,422,57.03931605815888,146.00287064909935,83.43410788699984,146.00287064909935
52,8664,562.0916658043861,1670,57.03931605815888,562.0916658043861,108.39947425499558,562.0916658043861
53,9330,223.62600383162496,666,57.03931605815888,223.62600383162496,112.24848987981676,223.62600383162496
54,10610,421.6932773590088,1280,57.03931605815888,421.6932773590088,126.67468735054136,421.6932773590088
55,10844,76.93509781360626,234,57.03931605815888,76.93509781360626,121.58031262531875,76.93509781360626
56,11060,72.38942730426788,216,57.03931605815888,72.38942730426788,119.4139143757522,72.38942730426788
57,11202,50.883200615644455,142,57.03931605815888,50.883200615644455,121.95622265711428,50.883200615644455
58,11338,48.76279258728027,136,57.03931605815888,48.76279258728027,123.57130591198802,48.76279258728027
59,11450,41.0292963385582,112,57.03931605815888,41.0292963385582,124.03060925230383,41.0292963385582
60,11855,134.0026281028986,405,64.83720821142197,134.0026281028986,130.1973071202636,134.0026281028986
61,11982,44.19654530286789,127,64.83720821142197,44.19654530286789,130.9041532084346,44.19654530286789
62,11983,-0.5,1,57.03931605815888,-0.5,127.42863905131816,-0.5
63,12108,45.1815624833107,125,57.03931605815888,45.1815624833107,128.01012099832298,45.1815624833107
64,12112,0.501739501953125,4,57.03931605815888,0.501739501953125,128.0452971279621,0.501739501953125
65,12268,53.83139416575432,156,57.247763723135,53.83139416575432,128.95147644132376,53.83139416575432
66,12425,59.9967088997364,157,60.33042109012604,59.9967088997364,131.6518999516964,59.9967088997364
67,12753,120.1156989634037,328,60.33042109012604,120.1156989634037,124.66619262248278,120.1156989634037
68,12754,-0.5,1,56.91405153274536,-0.5,110.71592709198596,-0.5
69,12895,51.189316749572754,141,56.91405153274536,51.189316749572754,110.60466798767447,51.189316749572754
70,13323,150.56398767232895,428,56.91405153274536,150.56398767232895,115.09966070726514,150.56398767232895
71,14033,255.8187106251717,710,56.91405153274536,255.8187106251717,120.59045270606876,255.8187106251717
72,14430,136.09359255433083,397,56.91405153274536,136.09359255433083,99.290549043566,136.09359255433083
73,14550,42.96077799797058,120,52.510355457663536,42.96077799797058,90.25728775188328,42.96077799797058
74,14670,42.6321927011013,120,51.03625868260861,42.6321927011013,71.3042335189879,42.6321927011013
75,14785,41.59233999252319,115,49.82299660146237,41.59233999252319,69.53709562793374,41.59233999252319
76,14896,39.92085915803909,111,46.97217753529549,39.92085915803909,67.9136672206223,39.92085915803909
77,15007,40.59203705191612,111,44.689053893089294,40.59203705191612,67.39910904243588,40.59203705191612
78,15127,43.82522988319397,120,44.01088759303093,43.82522988319397,67.15223090723157,43.82522988319397
79,15234,40.02134534716606,107,44.01088759303093,40.02134534716606,67.10183335766196,40.02134534716606
80,15371,51.76475393772125,137,44.01088759303093,51.76475393772125,62.9899396494031,51.76475393772125
81,15492,42.203522115945816,121,43.39300394058228,42.203522115945816,62.89028849005699,42.203522115945816
82,15619,45.55236768722534,127,44.503396183252335,45.55236768722534,65.19290687441826,45.55236768722534
83,15767,55.95662409067154,148,44.688798785209656,55.95662409067154,65.7316599547863,55.95662409067154
84,15899,46.67727091908455,132,46.11481930315495,46.67727091908455,68.04043652564287,46.67727091908455
85,16023,46.32644075155258,124,45.93940421938896,46.32644075155258,67.66518885493278,46.32644075155258
86,17035,338.95208786427975,1012,45.93940421938896,338.95208786427975,81.61295780315996,338.95208786427975
87,17483,153.88006764650345,448,45.93940421938896,153.88006764650345,83.30117623731493,153.88006764650345
88,17486,0.0102023184299469,3,45.93940421938896,0.0102023184299469,83.32668635323644,0.0102023184299469
89,18868,471.65669414401054,1382,45.93940421938896,471.65669414401054,104.35005522295832,471.65669414401054
