episode,episode_reward,episode_length
1,0.1698736250400543,3
2,-0.5,1
3,0.3822254240512848,4
4,40.98627233505249,111
5,82.53367495536804,231
6,83.26620745658875,236
7,18.188900381326675,56
8,0.0833991467952728,3
9,23.41998296976089,73
10,47.840854465961456,139
11,-0.5,1
12,-0.5,1
13,19.03498095273972,59
14,51.25791344046593,144
15,0.398804098367691,4
16,41.78894969820976,120
17,0.9871240258216858,6
18,46.65192666649818,129
19,1.2659070193767548,6
20,-0.5,1
21,-0.1563061773777008,2
22,0.4576558172702789,4
23,22.061628490686417,62
24,1.9147164523601528,8
25,49.26207846403122,139
26,24.595832228660583,71
27,44.84027272462845,126
28,29.642945885658264,85
29,2.7257382571697235,11
30,129.9566406905651,378
31,16.626707911491394,48
32,62.78433844447136,170
33,146.64569133520126,427
34,133.16932794451714,383
35,178.822592318058,520
36,115.71739229559898,317
37,0.0370349884033203,3
38,16.46112748980522,48
39,31.84322953224182,86
40,10.668670743703842,31
41,30.059623539447784,87
42,69.01028314232826,184
43,33.5519235432148,92
44,-0.2017830908298492,2
45,35.70780789852142,96
46,5.98823869228363,19
47,259.8298455476761,727
48,278.5053106099367,805
49,53.41449883580208,148
50,60.66413328051567,165
51,146.00287064909935,422
52,562.0916658043861,1670
53,223.62600383162496,666
54,421.6932773590088,1280
55,76.93509781360626,234
56,72.38942730426788,216
57,50.883200615644455,142
58,48.76279258728027,136
59,41.0292963385582,112
60,134.0026281028986,405
61,44.19654530286789,127
62,-0.5,1
63,45.1815624833107,125
64,0.501739501953125,4
65,53.83139416575432,156
66,59.9967088997364,157
67,120.1156989634037,328
68,-0.5,1
69,51.189316749572754,141
70,150.56398767232895,428
71,255.8187106251717,710
72,136.09359255433083,397
73,42.96077799797058,120
74,42.6321927011013,120
75,41.59233999252319,115
76,39.92085915803909,111
77,40.59203705191612,111
78,43.82522988319397,120
79,40.02134534716606,107
80,51.76475393772125,137
81,42.203522115945816,121
82,45.55236768722534,127
83,55.95662409067154,148
84,46.67727091908455,132
85,46.32644075155258,124
86,338.95208786427975,1012
87,153.88006764650345,448
88,0.0102023184299469,3
89,471.65669414401054,1382
90,153.76027953624725,444
91,354.74299043416977,991
92,2.663043826818466,10
93,44.18522962927818,122
94,58.30267411470413,156
95,49.94972744584084,133
96,43.570053070783615,122
97,17.05345830321312,49
98,3.744949907064438,13
99,46.3992263674736,126
100,46.96483790874481,125
101,2.4434018433094025,10
102,0.6026361286640167,4
103,95.68286237120628,251
104,1.2841529548168182,6
105,320.67471328377724,940
106,34.71466153860092,95
107,46.20261973142624,125
108,136.486325442791,367
109,41.28603968024254,121
110,44.53599146008492,126
111,45.7477148771286,132
112,131.05017125606537,366
113,21.102683186531067,61
114,14.413139820098875,45
115,11.447395145893095,34
116,53.31532475352287,146
117,53.56488847732544,139
118,40.931215316057205,112
119,74.91790825128555,206
120,148.7232399880886,395
121,100.13986748456956,276
122,145.49268901348114,392
123,16.449794203042984,47
124,131.7050907611847,381
125,145.67509615421295,407
126,81.4718756377697,218
127,137.526995241642,371
128,876.2695191949606,2529
129,454.118726849556,1383
130,79.59197694063187,219
131,124.38439723849297,341
132,81.96497765183449,218
133,179.05766880512238,494
134,86.1367637515068,231
135,179.04674807190895,517
136,276.24816681444645,808
137,229.4533259421587,693
138,112.97566792368887,306
139,132.99788296222687,372
140,20.1748149394989,59
141,273.07366985082626,805
142,228.8999794125557,615
143,951.0480338484048,2810
144,272.41007831692696,803
145,356.31964303553104,1088
146,341.2621269375086,1026
147,2220.239862009883,6491
148,150.18717861175537,423
149,173.20980778336525,521
150,270.45842999219894,803
151,243.57493126392365,732
152,235.049582272768,706
153,309.1918234080076,933
154,233.2009343057871,711
155,171.13309666514397,510
156,16.433454990386963,47
157,130.28354755043983,374
158,171.96212807297707,512
159,8.349082589149475,29
160,55.39756324887276,147
161,138.66023755073547,371
162,73.40682330727577,204
163,440.8766106069088,1308
164,60.28186517953873,167
165,280.5308199673891,809
166,127.68084987998007,366
167,794.7126132845879,2395
168,173.596264898777,513
169,127.42312252521516,373
170,155.21295043826103,429
171,179.74596786499023,520
172,401.5241134911776,1243
173,273.0146361589432,809
174,166.04896634817123,516
175,463.6597188860178,1370
176,373.9512799233198,1098
177,171.37604689598083,519
178,265.0105915367604,803
179,1091.9773178696632,3260
180,176.36115556955338,516
181,1161.3846040070057,3393
182,631.9380552470684,1963
183,127.69842591881752,380
184,178.29605880379677,518
185,173.9309747517109,515
186,421.4602814912796,1260
187,847.0887038558722,2529
188,272.3774783909321,808
189,445.9085276424885,1379
190,172.98552507162094,521
191,351.7675310820341,1085
192,864.3182625770569,2528
193,549.9835357069969,1669
194,174.35512253642082,518
195,990.0347889661788,2820
196,369.4134760648012,1101
197,351.41374307870865,1093
198,914.5317197442056,2728
