episode,timestep,total_reward,original_reward,shaped_component,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
1,809,272.42328983545303,269.9732892513275,2.4499999999999993,809,269.9732892513275,269.9732892513275,269.9732892513275,269.9732892513275
2,3631,960.9112036675215,958.461203083396,2.4499999999999993,2822,958.461203083396,958.461203083396,958.461203083396,958.461203083396
3,4148,173.05126869678497,170.60126811265945,2.4499999999999993,517,170.60126811265945,170.60126811265945,170.60126811265945,170.60126811265945
4,6970,959.3082151263952,956.8582145422697,2.4499999999999993,2822,956.8582145422697,956.8582145422697,956.8582145422697,956.8582145422697
5,8029,349.0478704869747,346.5978699028492,2.4499999999999993,1059,346.5978699028492,346.5978699028492,346.5978699028492,346.5978699028492
6,8408,132.33223536610603,129.88223478198051,2.4499999999999993,379,129.88223478198051,129.88223478198051,129.88223478198051,129.88223478198051
7,9216,275.3088497519493,272.8588491678238,2.4499999999999993,808,272.8588491678238,272.8588491678238,272.8588491678238,272.8588491678238
