episode,timestep,total_reward,original_reward,shaped_component,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
1,3,0.3198736608028412,0.16987362504005432,0.15000000000000002,3,0.16987362504005432,0.16987362504005432,0.16987362504005432,0.16987362504005432
2,4,-0.44999998807907104,-0.5,0.05,1,-0.5,-0.5,-0.5,-0.5
3,8,0.5822275280952454,0.38222748041152954,0.2,4,0.38222748041152954,0.38222748041152954,0.38222748041152954,0.38222748041152954
4,165,57.8462330698967,55.39623248577118,2.4499999999999993,157,55.39623248577118,55.39623248577118,55.39623248577118,55.39623248577118
5,169,0.5350969135761261,0.3350968658924103,0.2,4,0.3350968658924103,0.3350968658924103,0.3350968658924103,0.3350968658924103
6,294,45.64118829369545,43.19118770956993,2.4499999999999993,125,43.19118770956993,43.19118770956993,43.19118770956993,43.19118770956993
7,298,0.5421249568462372,0.34212490916252136,0.2,4,0.34212490916252136,0.34212490916252136,0.34212490916252136,0.34212490916252136
8,398,37.59355032444,35.143549740314484,2.4499999999999993,100,35.143549740314484,35.143549740314484,35.143549740314484,35.143549740314484
9,495,34.599885672330856,32.14988508820534,2.4499999999999993,97,32.14988508820534,32.14988508820534,32.14988508820534,32.14988508820534
10,499,0.5783658921718597,0.3783658444881439,0.2,4,0.3783658444881439,0.3783658444881439,0.3783658444881439,0.3783658444881439
11,500,-0.44999998807907104,-0.5,0.05,1,-0.5,-0.5,-0.5,-0.5
12,504,0.5348958969116211,0.3348958492279053,0.2,4,0.3348958492279053,0.3348958492279053,0.3348958492279053,0.3348958492279053
13,507,0.20944756269454956,0.059447526931762695,0.15000000000000002,3,0.059447526931762695,0.059447526931762695,0.059447526931762695,0.059447526931762695
14,632,45.975537329912186,43.52553674578667,2.4499999999999993,125,43.52553674578667,43.52553674578667,43.52553674578667,43.52553674578667
15,756,43.97749722003937,41.52749663591385,2.4499999999999993,124,41.52749663591385,41.52749663591385,41.52749663591385,41.52749663591385
16,888,47.95230880379677,45.50230821967125,2.4499999999999993,132,45.50230821967125,45.50230821967125,45.50230821967125,45.50230821967125
17,892,0.60723477602005,0.40723472833633423,0.2,4,0.40723472833633423,0.40723472833633423,0.40723472833633423,0.40723472833633423
18,1012,44.3061600625515,41.85615947842598,2.4499999999999993,120,41.85615947842598,41.85615947842598,41.85615947842598,41.85615947842598
19,1013,-0.44999998807907104,-0.5,0.05,1,-0.5,-0.5,-0.5,-0.5
20,1015,-0.055325865745544434,-0.15532588958740234,0.1,2,0.38029666244983673,-0.15532588958740234,16.952314852178098,-0.15532588958740234
21,1018,0.3348104953765869,0.18481045961380005,0.15000000000000002,3,0.38029666244983673,0.18481045961380005,16.953061693906783,0.18481045961380005
22,1019,-0.44999998807907104,-0.5,0.05,1,0.38029666244983673,-0.5,16.953061693906783,-0.5
23,1151,50.30423346161842,47.854232877492905,2.4499999999999993,132,0.3928002864122391,47.854232877492905,19.326661963760852,47.854232877492905
24,1152,-0.44999998807907104,-0.5,0.05,1,0.36024537682533264,-0.5,16.531850339472292,-0.5
25,1278,46.03299528360367,43.58299469947815,2.4499999999999993,126,0.3928002864122391,43.58299469947815,18.69424523115158,43.58299469947815
26,1388,40.49080088734627,38.04080030322075,2.4499999999999993,110,0.3928002864122391,38.04080030322075,18.436725860834123,38.04080030322075
27,1532,52.00979173183441,49.55979114770889,2.4499999999999993,144,16.278559908270836,49.55979114770889,20.89760917276144,49.55979114770889
28,1643,39.88557878136635,37.43557819724083,2.4499999999999993,111,16.278559908270836,37.43557819724083,21.01221059560776,37.43557819724083
29,1777,47.95587983727455,45.50587925314903,2.4499999999999993,134,18.921406462788582,45.50587925314903,21.680010303854942,45.50587925314903
30,1894,41.52462741732597,39.074626833200455,2.4499999999999993,117,37.73818925023079,39.074626833200455,23.614823353290557,39.074626833200455
31,1899,0.9421225190162659,0.6921224594116211,0.25,5,37.73818925023079,0.6921224594116211,23.67442947626114,0.6921224594116211
32,2028,47.94987139105797,45.49987080693245,2.4499999999999993,129,38.5577135682106,45.49987080693245,25.932678224146365,45.49987080693245
33,2167,50.452953189611435,48.002952605485916,2.4499999999999993,139,40.30106173455715,48.002952605485916,28.329853478074075,48.002952605485916
34,2300,45.67175632715225,43.22175574302673,2.4499999999999993,133,40.30106173455715,43.22175574302673,28.314664427936076,43.22175574302673
35,2436,48.42384362220764,45.97384303808212,2.4499999999999993,136,40.46539315581322,45.97384303808212,28.53698174804449,45.97384303808212
36,2559,46.55273878574371,44.102738201618195,2.4499999999999993,123,40.46539315581322,44.102738201618195,28.46700324714184,44.102738201618195
37,2562,0.18788838386535645,0.03788834810256958,0.15000000000000002,3,40.46539315581322,0.03788834810256958,28.44853592813015,0.03788834810256958
38,2673,40.476043939590454,38.026043355464935,2.4499999999999993,111,38.5577135682106,38.026043355464935,28.257030121982098,38.026043355464935
39,2789,44.12720790505409,41.677207320928574,2.4499999999999993,116,40.375917077064514,41.677207320928574,30.365890488028526,41.677207320928574
40,2791,-0.056888073682785034,-0.15688809752464294,0.1,2,40.375917077064514,-0.15688809752464294,30.365812377631663,-0.15688809752464294
41,2798,1.599552869796753,1.2495527863502502,0.35,7,40.375917077064514,1.2495527863502502,30.419049493968487,1.2495527863502502
42,2799,-0.44999998807907104,-0.5,0.05,1,40.375917077064514,-0.5,30.419049493968487,-0.5
43,2800,-0.44999998807907104,-0.5,0.05,1,38.5577135682106,-0.5,28.00133785009384,-0.5
44,2933,50.69570133090019,48.24570074677467,2.4499999999999993,133,40.375917077064514,48.24570074677467,30.438622887432576,48.24570074677467
