episode,total_reward,original_reward,shaped_component,episode_length
1,272.42328983545303,269.9732892513275,2.4499999999999997,809
2,960.9112036675216,958.461203083396,2.4499999999999997,2822
3,173.05126869678497,170.60126811265943,2.4499999999999997,517
4,959.3082151263952,956.8582145422696,2.4499999999999997,2822
5,349.0478704869747,346.5978699028492,2.4499999999999997,1059
6,132.33223536610603,129.88223478198051,2.4499999999999997,379
7,275.3088497519493,272.8588491678238,2.4499999999999997,808
