episode,timestep,total_reward,original_reward,shaped_component,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
1,3,0.3198736608028412,0.1698736250400543,0.15,3,0.1698736250400543,0.1698736250400543,0.1698736250400543,0.1698736250400543
2,4,-0.449999988079071,-0.5,0.05,1,-0.5,-0.5,-0.5,-0.5
3,8,0.5822275280952454,0.3822274804115295,0.2,4,0.3822274804115295,0.3822274804115295,0.3822274804115295,0.3822274804115295
4,165,57.8462330698967,55.39623248577118,2.4499999999999997,157,55.39623248577118,55.39623248577118,55.39623248577118,55.39623248577118
5,169,0.5350969135761261,0.3350968658924103,0.2,4,0.3350968658924103,0.3350968658924103,0.3350968658924103,0.3350968658924103
6,294,45.64118829369545,43.19118770956993,2.4499999999999997,125,43.19118770956993,43.19118770956993,43.19118770956993,43.19118770956993
7,298,0.5421249568462372,0.3421249091625213,0.2,4,0.3421249091625213,0.3421249091625213,0.3421249091625213,0.3421249091625213
8,398,37.59355032444,35.143549740314484,2.4499999999999997,100,35.143549740314484,35.143549740314484,35.143549740314484,35.143549740314484
9,495,34.599885672330856,32.14988508820534,2.4499999999999997,97,32.14988508820534,32.14988508820534,32.14988508820534,32.14988508820534
10,499,0.5783658921718597,0.3783658444881439,0.2,4,0.3783658444881439,0.3783658444881439,0.3783658444881439,0.3783658444881439
11,500,-0.449999988079071,-0.5,0.05,1,-0.5,-0.5,-0.5,-0.5
12,504,0.5348958969116211,0.3348958492279053,0.2,4,0.3348958492279053,0.3348958492279053,0.3348958492279053,0.3348958492279053
13,507,0.2094475626945495,0.0594475269317626,0.15,3,0.0594475269317626,0.0594475269317626,0.0594475269317626,0.0594475269317626
14,632,45.975537329912186,43.52553674578667,2.4499999999999997,125,43.52553674578667,43.52553674578667,43.52553674578667,43.52553674578667
15,756,43.97749722003937,41.52749663591385,2.4499999999999997,124,41.52749663591385,41.52749663591385,41.52749663591385,41.52749663591385
16,888,47.95230880379677,45.50230821967125,2.4499999999999997,132,45.50230821967125,45.50230821967125,45.50230821967125,45.50230821967125
17,892,0.60723477602005,0.4072347283363342,0.2,4,0.4072347283363342,0.4072347283363342,0.4072347283363342,0.4072347283363342
18,1012,44.3061600625515,41.85615947842598,2.4499999999999997,120,41.85615947842598,41.85615947842598,41.85615947842598,41.85615947842598
19,1013,-0.449999988079071,-0.5,0.05,1,-0.5,-0.5,-0.5,-0.5
20,1015,-0.0553258657455444,-0.1553258895874023,0.1,2,0.3802966624498367,-0.1553258895874023,16.952314852178098,-0.1553258895874023
21,1018,0.3348104953765869,0.1848104596138,0.15,3,0.3802966624498367,0.1848104596138,16.953061693906783,0.1848104596138
22,1019,-0.449999988079071,-0.5,0.05,1,0.3802966624498367,-0.5,16.953061693906783,-0.5
23,1151,50.30423346161842,47.854232877492905,2.4499999999999997,132,0.3928002864122391,47.854232877492905,19.32666196376085,47.854232877492905
24,1152,-0.449999988079071,-0.5,0.05,1,0.3602453768253326,-0.5,16.531850339472292,-0.5
25,1278,46.03299528360367,43.58299469947815,2.4499999999999997,126,0.3928002864122391,43.58299469947815,18.69424523115158,43.58299469947815
26,1388,40.49080088734627,38.04080030322075,2.4499999999999997,110,0.3928002864122391,38.04080030322075,18.436725860834123,38.04080030322075
27,1532,52.00979173183441,49.55979114770889,2.4499999999999997,144,16.278559908270836,49.55979114770889,20.89760917276144,49.55979114770889
28,1643,39.88557878136635,37.43557819724083,2.4499999999999997,111,16.278559908270836,37.43557819724083,21.01221059560776,37.43557819724083
29,1777,47.95587983727455,45.50587925314903,2.4499999999999997,134,18.921406462788585,45.50587925314903,21.680010303854942,45.50587925314903
30,1894,41.52462741732597,39.074626833200455,2.4499999999999997,117,37.73818925023079,39.074626833200455,23.61482335329056,39.074626833200455
31,1899,0.942122519016266,0.6921224594116211,0.25,5,37.73818925023079,0.6921224594116211,23.67442947626114,0.6921224594116211
32,2028,47.94987139105797,45.49987080693245,2.4499999999999997,129,38.5577135682106,45.49987080693245,25.932678224146365,45.49987080693245
33,2167,50.45295318961144,48.00295260548592,2.4499999999999997,139,40.30106173455715,48.00295260548592,28.329853478074075,48.00295260548592
34,2300,45.67175632715225,43.22175574302673,2.4499999999999997,133,40.30106173455715,43.22175574302673,28.31466442793608,43.22175574302673
35,2436,48.42384362220764,45.97384303808212,2.4499999999999997,136,40.46539315581322,45.97384303808212,28.53698174804449,45.97384303808212
36,2559,46.55273878574371,44.1027382016182,2.4499999999999997,123,40.46539315581322,44.1027382016182,28.46700324714184,44.1027382016182
37,2562,0.1878883838653564,0.0378883481025695,0.15,3,40.46539315581322,0.0378883481025695,28.44853592813015,0.0378883481025695
38,2673,40.47604393959045,38.026043355464935,2.4499999999999997,111,38.5577135682106,38.026043355464935,28.257030121982098,38.026043355464935
39,2789,44.12720790505409,41.677207320928574,2.4499999999999997,116,40.375917077064514,41.677207320928574,30.365890488028526,41.677207320928574
40,2791,-0.056888073682785,-0.1568880975246429,0.1,2,40.375917077064514,-0.1568880975246429,30.365812377631663,-0.1568880975246429
41,2798,1.599552869796753,1.2495527863502502,0.35,7,40.375917077064514,1.2495527863502502,30.419049493968487,1.2495527863502502
42,2799,-0.449999988079071,-0.5,0.05,1,40.375917077064514,-0.5,30.419049493968487,-0.5
43,2800,-0.449999988079071,-0.5,0.05,1,38.5577135682106,-0.5,28.00133785009384,-0.5
44,2933,50.69570133090019,48.24570074677467,2.4499999999999997,133,40.375917077064514,48.24570074677467,30.438622887432576,48.24570074677467
45,2934,-0.449999988079071,-0.5,0.05,1,38.5577135682106,-0.5,28.23447315245867,-0.5
46,2935,-0.449999988079071,-0.5,0.05,1,38.550335094332695,-0.5,26.30743313729763,-0.5
47,3010,27.940368473529816,25.490367889404297,2.4499999999999997,75,37.73081077635288,25.490367889404297,25.1039619743824,25.490367889404297
48,3169,56.97215315699577,54.522152572870255,2.4499999999999997,159,38.550335094332695,54.522152572870255,25.95829069316387,54.522152572870255
49,3170,-0.449999988079071,-0.5,0.05,1,31.758205622434616,-0.5,23.65799673050642,-0.5
50,3174,0.6174987256526947,0.4174986779689789,0.2,4,13.369960337877274,0.4174986779689789,21.72514032274485,0.4174986779689789
51,3182,2.063629239797592,1.6636291444301603,0.3999999999999999,8,13.576998516917229,1.6636291444301603,21.773715656995773,1.6636291444301603
52,3185,0.2179588973522186,0.0679588615894317,0.15,3,1.4565909653902054,0.0679588615894317,19.50212005972862,0.0679588615894317
53,3313,45.59594449400902,43.1459439098835,2.4499999999999997,128,1.4565909653902054,43.1459439098835,19.2592696249485,43.1459439098835
54,3314,-0.449999988079071,-0.5,0.05,1,0.8335257321596146,-0.5,17.073181837797165,-0.5
