episode,timestep,episode_reward,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
1,3,0.16987362504005432,3,0.16987362504005432,0.16987362504005432,0.16987362504005432,0.16987362504005432
2,4,-0.5,1,-0.5,-0.5,-0.5,-0.5
3,8,0.38222748041152954,4,0.38222748041152954,0.38222748041152954,0.38222748041152954,0.38222748041152954
4,165,55.39623248577118,157,55.39623248577118,55.39623248577118,55.39623248577118,55.39623248577118
5,169,0.3350968658924103,4,0.3350968658924103,0.3350968658924103,0.3350968658924103,0.3350968658924103
6,294,43.19118770956993,125,43.19118770956993,43.19118770956993,43.19118770956993,43.19118770956993
7,298,0.34212490916252136,4,0.34212490916252136,0.34212490916252136,0.34212490916252136,0.34212490916252136
8,398,35.143549740314484,100,35.143549740314484,35.143549740314484,35.143549740314484,35.143549740314484
9,495,32.14988508820534,97,32.14988508820534,32.14988508820534,32.14988508820534,32.14988508820534
10,499,0.3783658444881439,4,0.3783658444881439,0.3783658444881439,0.3783658444881439,0.3783658444881439
11,500,-0.5,1,-0.5,-0.5,-0.5,-0.5
12,504,0.3348958492279053,4,0.3348958492279053,0.3348958492279053,0.3348958492279053,0.3348958492279053
13,507,0.059447526931762695,3,0.059447526931762695,0.059447526931762695,0.059447526931762695,0.059447526931762695
14,632,43.52553674578667,125,43.52553674578667,43.52553674578667,43.52553674578667,43.52553674578667
15,756,41.52749663591385,124,41.52749663591385,41.52749663591385,41.52749663591385,41.52749663591385
16,888,45.50230821967125,132,45.50230821967125,45.50230821967125,45.50230821967125,45.50230821967125
17,892,0.40723472833633423,4,0.40723472833633423,0.40723472833633423,0.40723472833633423,0.40723472833633423
18,1012,41.85615947842598,120,41.85615947842598,41.85615947842598,41.85615947842598,41.85615947842598
19,1013,-0.5,1,-0.5,-0.5,-0.5,-0.5
20,1015,-0.15532588958740234,2,0.38029666244983673,-0.15532588958740234,16.952314852178098,-0.15532588958740234
21,1018,0.18481045961380005,3,0.38029666244983673,0.18481045961380005,16.953061693906783,0.18481045961380005
22,1019,-0.5,1,0.38029666244983673,-0.5,16.953061693906783,-0.5
23,1151,47.854232877492905,132,0.3928002864122391,47.854232877492905,19.326661963760852,47.854232877492905
24,1152,-0.5,1,0.36024537682533264,-0.5,16.531850339472292,-0.5
25,1278,43.58299469947815,126,0.3928002864122391,43.58299469947815,18.69424523115158,43.58299469947815
26,1388,38.04080030322075,110,0.3928002864122391,38.04080030322075,18.436725860834123,38.04080030322075
27,1532,49.55979114770889,144,16.278559908270836,49.55979114770889,20.89760917276144,49.55979114770889
28,1643,37.43557819724083,111,16.278559908270836,37.43557819724083,21.01221059560776,37.43557819724083
29,1777,45.50587925314903,134,18.921406462788582,45.50587925314903,21.680010303854942,45.50587925314903
30,1894,39.074626833200455,117,37.73818925023079,39.074626833200455,23.614823353290557,39.074626833200455
31,1899,0.6921224594116211,5,37.73818925023079,0.6921224594116211,23.67442947626114,0.6921224594116211
32,2028,45.49987080693245,129,38.5577135682106,45.49987080693245,25.932678224146365,45.49987080693245
33,2167,48.03809115290642,139,40.30106173455715,48.03809115290642,28.331610405445097,48.03809115290642
34,2300,43.28509271144867,133,40.30106173455715,43.28509271144867,28.3195882037282,43.28509271144867
35,2436,46.032248854637146,136,40.46539315581322,46.032248854637146,28.544825814664364,46.032248854637146
36,2559,44.11800807714462,123,40.46539315581322,44.11800807714462,28.475610807538033,44.11800807714462
37,2562,0.03791365027427673,3,40.46539315581322,0.03791365027427673,28.45714475363493,0.03791365027427673
38,2673,38.04483896493912,111,38.559732899069786,38.04483896493912,28.266578727960585,38.04483896493912
39,2789,41.68673360347748,116,40.380680218338966,41.68673360347748,30.37591540813446,41.68673360347748
40,2791,-0.15687885880470276,2,40.380680218338966,-0.15687885880470276,30.375837759673594,-0.15687885880470276
41,2798,1.2497017681598663,7,40.380680218338966,1.2497017681598663,30.4290823251009,1.2497017681598663
42,2799,-0.5,1,40.380680218338966,-0.5,30.4290823251009,-0.5
43,2800,-0.5,1,38.559732899069786,-0.5,28.011370681226254,-0.5
44,2933,48.27032154798508,133,40.380680218338966,48.27032154798508,30.449886758625507,48.27032154798508
45,2934,-0.5,1,38.559732899069786,-0.5,28.2457370236516,-0.5
46,2935,-0.5,1,38.559732899069786,-0.5,26.318697008490563,-0.5
47,3010,25.497333496809006,75,37.74020858108997,25.497333496809006,25.115574125945567,25.497333496809006
48,3169,54.602616399526596,159,38.559732899069786,54.602616399526596,25.973926036059858,54.602616399526596
49,3170,-0.5,1,31.77108623087406,-0.5,23.673632073402405,-0.5
50,3174,0.41754013299942017,4,13.373517632484436,0.41754013299942017,21.740777738392353,0.41754013299942017
51,3182,1.6638346910476685,8,13.580584093928337,1.6638346910476685,21.789363349974156,1.6638346910476685
52,3185,0.0679788589477539,3,1.4567682296037674,0.0679788589477539,19.51776875257492,0.0679788589477539
