episode,total_reward,original_reward,shaped_component,episode_length
1,0.3198736608028412,0.1698736250400543,0.15,3
2,-0.449999988079071,-0.5,0.05,1
3,0.5822204053401947,0.3822203576564789,0.2,4
4,118.05819395184515,115.60819336771964,2.4499999999999997,318
5,148.72580954432487,146.27580896019936,2.4499999999999997,424
6,45.68451380729675,43.234513223171234,2.4499999999999997,122
7,26.83439213037491,24.38439154624939,2.4499999999999997,71
8,35.981100648641586,33.53110006451607,2.4499999999999997,94
9,40.1357296705246,37.68572908639908,2.4499999999999997,112
10,131.34842175245285,128.89842116832733,2.4499999999999997,368
11,-0.449999988079071,-0.5,0.05,1
12,0.963179647922516,0.7131795883178711,0.25,5
13,21.707276552915573,19.25727596879005,2.4499999999999997,57
14,46.01182234287262,43.5618217587471,2.4499999999999997,123
15,50.14177829027176,47.69177770614624,2.4499999999999997,136
16,357.2799503952265,354.82994981110096,2.4499999999999997,1097
17,178.06055587530136,175.61055529117584,2.4499999999999997,503
18,53.86744639277458,51.41744580864906,2.4499999999999997,138
19,137.12093889713287,134.67093831300735,2.4499999999999997,381
20,46.601063549518585,44.151062965393066,2.4499999999999997,120
21,30.83471381664276,28.38471323251724,2.4499999999999997,74
22,45.35894161462784,42.90894103050232,2.4499999999999997,115
23,441.080782532692,438.6307819485664,2.4499999999999997,1310
24,51.41065043210983,48.96064984798432,2.4499999999999997,152
25,115.43881663680077,112.98881605267523,2.4499999999999997,375
26,53.318322509527206,50.86832192540169,2.4499999999999997,162
27,73.87155872583389,71.42155814170837,2.4499999999999997,232
28,45.19658806920052,42.746587485075,2.4499999999999997,133
29,153.59453561902046,151.14453503489494,2.4499999999999997,496
30,121.64425763487816,119.19425705075264,2.4499999999999997,377
31,48.37287423014641,45.92287364602089,2.4499999999999997,140
32,156.01621688902378,153.56621630489826,2.4499999999999997,508
33,116.29081243276596,113.84081184864044,2.4499999999999997,376
34,127.99233976006508,125.54233917593956,2.4499999999999997,377
35,54.99206402897835,52.54206344485283,2.4499999999999997,165
36,55.59863460063934,53.148634016513824,2.4499999999999997,151
37,0.1897267401218414,0.0397267043590545,0.15,3
38,50.85614150762558,48.40614092350006,2.4499999999999997,139
39,51.19463741779328,48.74463683366776,2.4499999999999997,134
40,-0.1062420606613159,-0.2062420845031738,0.1,2
41,51.53818640112877,49.08818581700325,2.4499999999999997,145
42,5.233892321586609,4.483892142772675,0.7500000000000001,15
43,2.234063744544983,1.8340636491775515,0.3999999999999999,8
44,56.72173395752907,54.27173337340355,2.4499999999999997,149
45,19.292606443166733,16.842605859041214,2.4499999999999997,49
46,482.6077469587326,480.1577463746071,2.4499999999999997,1559
47,83.94737359881401,81.49737301468849,2.4499999999999997,223
48,249.88657696545124,247.4365763813257,2.4499999999999997,803
49,126.77644823491572,124.3264476507902,2.4499999999999997,414
50,243.3693235963583,240.9193230122328,2.4499999999999997,805
51,75.60599476099014,73.15599417686462,2.4499999999999997,244
52,178.71475575864315,176.26475517451763,2.4499999999999997,574
53,130.19725823402405,127.74725764989851,2.4499999999999997,425
54,376.11204302310944,373.6620424389839,2.4499999999999997,1257
55,79.1136688888073,76.66366830468178,2.4499999999999997,234
56,114.79051801562308,112.34051743149756,2.4499999999999997,358
57,159.61336851119995,157.16336792707443,2.4499999999999997,513
58,842.2196429669857,839.7696423828602,2.4499999999999997,2722
59,43.35279256105423,40.90279197692871,2.4499999999999997,124
60,54.084870874881744,51.63487029075623,2.4499999999999997,154
61,217.2609024047852,214.81090182065964,2.4499999999999997,708
62,323.4088285267353,320.9588279426098,2.4499999999999997,1097
63,127.4507824331522,125.00078184902668,2.4499999999999997,417
64,127.22080151736736,124.77080093324184,2.4499999999999997,407
65,51.13422772288322,48.684227138757706,2.4499999999999997,154
66,46.29813042283058,43.84812983870506,2.4499999999999997,126
67,42.70324066281319,40.25324007868767,2.4499999999999997,118
68,52.90923598408699,50.45923539996147,2.4499999999999997,152
69,42.036747336387634,39.58674675226212,2.4499999999999997,124
70,158.14214634895325,155.69214576482773,2.4499999999999997,516
71,51.72870868444443,49.27870810031891,2.4499999999999997,146
72,248.13014934957027,245.6801487654448,2.4499999999999997,801
73,124.26398929953577,121.81398871541025,2.4499999999999997,379
74,164.56214860081673,162.1121480166912,2.4499999999999997,513
75,82.86200939118862,80.4120088070631,2.4499999999999997,250
76,54.97720789909363,52.52720731496811,2.4499999999999997,152
77,143.44969269633293,140.9996921122074,2.4499999999999997,423
78,274.06518590450287,271.6151853203773,2.4499999999999997,804
79,352.65408155322075,350.20408096909523,2.4499999999999997,1084
80,5.004507899284363,4.2545077204704285,0.7500000000000001,15
81,177.63157650828362,175.1815759241581,2.4499999999999997,518
82,351.864199206233,349.4141986221075,2.4499999999999997,1087
83,104.26083582639694,101.81083524227142,2.4499999999999997,284
84,19.00171783566475,16.55171725153923,2.4499999999999997,53
85,36.36701220273972,33.9170116186142,2.4499999999999997,97
86,1116.3263656198978,1113.8763650357723,2.4499999999999997,3296
87,170.82831874489784,168.37831816077232,2.4499999999999997,517
88,0.1606995463371276,0.0106995105743408,0.15,3
89,455.71812281012535,453.26812222599983,2.4499999999999997,1381
90,502.1305088400841,499.68050825595856,2.4499999999999997,1532
91,198.9680243730545,196.51802378892896,2.4499999999999997,563
92,212.89805245399475,210.44805186986923,2.4499999999999997,620
93,179.37462876737118,176.92462818324566,2.4499999999999997,514
94,291.08609084784985,288.6360902637243,2.4499999999999997,863
95,360.46809516847134,358.0180945843458,2.4499999999999997,1097
96,416.2345981895924,413.7845976054669,2.4499999999999997,1276
