episode,timestep,episode_reward,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
1,809,269.9732892513275,809,269.9732892513275,269.9732892513275,269.9732892513275,269.9732892513275
2,3631,958.461203083396,2822,958.461203083396,958.461203083396,958.461203083396,958.461203083396
3,4148,170.60126811265943,517,170.60126811265943,170.60126811265943,170.60126811265943,170.60126811265943
4,6970,956.8582145422696,2822,956.8582145422696,956.8582145422696,956.8582145422696,956.8582145422696
5,8029,346.5978699028492,1059,346.5978699028492,346.5978699028492,346.5978699028492,346.5978699028492
6,8408,129.88223478198051,379,129.88223478198051,129.88223478198051,129.88223478198051,129.88223478198051
7,9216,272.8588491678238,808,272.8588491678238,272.8588491678238,272.8588491678238,272.8588491678238
